cycle_id,scenario_id,scenario_name,scenario_cycle,soil_moisture_pct,soil_state,energy_state,lora_success_ratio,lora_ack_condition,wifi_available,wifi_ack_condition,ble_available,ble_reliable_ack_condition,dtn_backlog_before,packet_size,event_type,priority,expected_policy,expected_interface_sequence,expected_selected_interface,expected_decision,expected_outcome,expected_dtn_action,expected_dtn_backlog_after,flush_trigger,flush_interface,maintenance_due,wifi_maintenance_flag,expected_radio_attempts,static_lora_attempts,expected_energy_proxy,functionality_oracle_key,notes
57,S6,"Extreme soil event, LOW energy, LoRa-only emergency",9,94,Extreme_Wet,LOW,0.37,No,Yes,NA,Yes,NA,26,96,EXTREME_WET,CRITICAL,low_energy_critical_lora_only,LORA,DTN,Store,Stored,Enqueue,27,No,None,No,No,1,1,4.2,EXTREME_WET|CRITICAL|low_energy_critical_lora_only|LORA|DTN|Store|Stored|Enqueue|No|None|No,LOW energy critical event allows only a minimal LoRa attempt; WiFi/BLE escalation is intentionally blocked.
58,S7,"LOW battery, noncritical soil, warning-store policy",9,42,Normal,LOW,0.7200000000000001,NA,No,NA,No,NA,23,64,LOW_BATTERY,WARNING,warning_store_policy,NONE,DTN,Store,Stored,Enqueue,24,No,None,No,No,0,1,1.5,LOW_BATTERY|WARNING|warning_store_policy|NONE|DTN|Store|Stored|Enqueue|No|None|No,LOW battery bypasses fuzzy path; current packet is stored and high-cost interfaces are avoided.
59,S3,Rainfall/noncritical wet soil with weak LoRa,3,76,Wet,OK,0.18,No,No,NA,No,NA,5,64,REGULAR,NORMAL,fuzzy_store_wet_weak_lora,NONE,DTN,Store,Stored,Enqueue,6,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_wet_weak_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Wet but non-extreme soil remains normal traffic; fuzzy STORE avoids unnecessary LoRa attempts.
60,S7,"LOW battery, noncritical soil, warning-store policy",3,41,Normal,LOW,0.78,NA,No,NA,No,NA,17,64,LOW_BATTERY,WARNING,warning_store_policy,NONE,DTN,Store,Stored,Enqueue,18,No,None,No,No,0,1,1.5,LOW_BATTERY|WARNING|warning_store_policy|NONE|DTN|Store|Stored|Enqueue|No|None|No,LOW battery bypasses fuzzy path; current packet is stored and high-cost interfaces are avoided.
61,S3,Rainfall/noncritical wet soil with weak LoRa,5,75,Wet,OK,0.24,No,No,NA,No,NA,7,64,REGULAR,NORMAL,fuzzy_store_wet_weak_lora,NONE,DTN,Store,Stored,Enqueue,8,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_wet_weak_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Wet but non-extreme soil remains normal traffic; fuzzy STORE avoids unnecessary LoRa attempts.
62,S1,"Normal soil, OK energy, reliable LoRa",6,44,Normal,OK,0.95,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,fuzzy_lora_tx,LORA,LORA,Send,Delivered,None,0,No,None,No,No,1,1,3.7,REGULAR|NORMAL|fuzzy_lora_tx|LORA|LORA|Send|Delivered|None|No|None|No,Normal fuzzy path selects LoRa because soil and recent LoRa reliability are favourable.
63,S1,"Normal soil, OK energy, reliable LoRa",7,39,Normal,OK,0.92,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,fuzzy_lora_tx,LORA,LORA,Send,Delivered,None,0,No,None,No,No,1,1,3.7,REGULAR|NORMAL|fuzzy_lora_tx|LORA|LORA|Send|Delivered|None|No|None|No,Normal fuzzy path selects LoRa because soil and recent LoRa reliability are favourable.
64,S7,"LOW battery, noncritical soil, warning-store policy",8,41,Normal,LOW,0.73,NA,No,NA,No,NA,22,64,LOW_BATTERY,WARNING,warning_store_policy,NONE,DTN,Store,Stored,Enqueue,23,No,None,No,No,0,1,1.5,LOW_BATTERY|WARNING|warning_store_policy|NONE|DTN|Store|Stored|Enqueue|No|None|No,LOW battery bypasses fuzzy path; current packet is stored and high-cost interfaces are avoided.
65,S9,"High DTN backlog, OK energy, ANSA-Lite recovery",3,42,Normal,OK,0.77,Yes,Yes,Yes,No,NA,32,64,REGULAR,NORMAL,normal_lora_plus_ansa_flush,LORA;FLUSH_WIFI,LORA,Send,Delivered,Dequeue,29,Yes,WIFI,No,No,2,1,5.2,REGULAR|NORMAL|normal_lora_plus_ansa_flush|LORA;FLUSH_WIFI|LORA|Send|Delivered|Dequeue|Yes|WIFI|No,"Backlog exceeds threshold and energy is OK, so ANSA-Lite flush recovery is allowed after current packet handling."
66,S2,"Normal soil, OK energy, poor LoRa history",10,44,Normal,OK,0.32,No,No,NA,No,NA,9,64,REGULAR,NORMAL,fuzzy_store_poor_lora,NONE,DTN,Store,Stored,Enqueue,10,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_poor_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Fuzzy path uses soil moisture and LoRa success ratio only; poor LoRa history causes direct DTN store.
67,S8,"CRITICAL battery, store-only protection",10,39,Normal,CRITICAL,0.81,NA,No,NA,No,NA,29,64,BATTERY_CRITICAL,CRITICAL,battery_critical_store_only,NONE,DTN,Store,Stored,Enqueue,30,No,None,No,No,0,1,1.5,BATTERY_CRITICAL|CRITICAL|battery_critical_store_only|NONE|DTN|Store|Stored|Enqueue|No|None|No,CRITICAL battery disables normal radio transmission; zero TX attempts expected.
68,S5,"Extreme wet, OK energy, deterministic cascade",4,95,Extreme_Wet,OK,0.33499999999999996,No,Yes,No,Yes,No,15,128,EXTREME_WET,CRITICAL,critical_environmental_full_cascade,LORA-WIFI-BLE_RELIABLE-BLE_ADVERTISE-DTN,DTN,Store,Stored,Enqueue,16,No,None,No,No,4,1,11.6,EXTREME_WET|CRITICAL|critical_environmental_full_cascade|LORA-WIFI-BLE_RELIABLE-BLE_ADVERTISE-DTN|DTN|Store|Stored|Enqueue|No|None|No,OK-energy extreme wet event uses deterministic cascade; DTN protects the packet if all ACK-confirmed paths fail.
69,S10,Scheduled WiFi maintenance gating,1,37,Normal,OK,0.9,Yes,Yes,Yes,No,NA,8,64,REGULAR,NORMAL,normal_lora_with_wifi_maintenance,LORA;WIFI_MAINTENANCE,LORA,Send,Delivered,None,8,No,None,Yes,Yes,2,1,6.7,REGULAR|NORMAL|normal_lora_with_wifi_maintenance|LORA;WIFI_MAINTENANCE|LORA|Send|Delivered|None|No|None|Yes,Scheduled WiFi maintenance is due; it runs only when energy is OK and WiFi is available.
70,S3,Rainfall/noncritical wet soil with weak LoRa,1,72,Wet,OK,0.2,No,No,NA,No,NA,3,64,REGULAR,NORMAL,fuzzy_store_wet_weak_lora,NONE,DTN,Store,Stored,Enqueue,4,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_wet_weak_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Wet but non-extreme soil remains normal traffic; fuzzy STORE avoids unnecessary LoRa attempts.
71,S1,"Normal soil, OK energy, reliable LoRa",1,34,Normal,OK,0.95,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,fuzzy_lora_tx,LORA,LORA,Send,Delivered,None,0,No,None,No,No,1,1,3.7,REGULAR|NORMAL|fuzzy_lora_tx|LORA|LORA|Send|Delivered|None|No|None|No,Normal fuzzy path selects LoRa because soil and recent LoRa reliability are favourable.
72,S10,Scheduled WiFi maintenance gating,6,38,Normal,OK,0.875,Yes,Yes,Yes,No,NA,10,64,REGULAR,NORMAL,normal_lora_with_wifi_maintenance,LORA;WIFI_MAINTENANCE,LORA,Send,Delivered,None,10,No,None,Yes,Yes,2,1,6.7,REGULAR|NORMAL|normal_lora_with_wifi_maintenance|LORA;WIFI_MAINTENANCE|LORA|Send|Delivered|None|No|None|Yes,Scheduled WiFi maintenance is due; it runs only when energy is OK and WiFi is available.
73,S6,"Extreme soil event, LOW energy, LoRa-only emergency",8,7,Extreme_Dry,LOW,0.38,Yes,Yes,NA,Yes,NA,25,96,EXTREME_DRY,CRITICAL,low_energy_critical_lora_only,LORA,LORA,Send,Delivered,None,25,No,None,No,No,1,1,3.7,EXTREME_DRY|CRITICAL|low_energy_critical_lora_only|LORA|LORA|Send|Delivered|None|No|None|No,LOW energy critical event allows only a minimal LoRa attempt; WiFi/BLE escalation is intentionally blocked.
74,S10,Scheduled WiFi maintenance gating,4,40,Normal,OK,0.885,Yes,Yes,Yes,No,NA,8,64,REGULAR,NORMAL,normal_lora_with_wifi_maintenance,LORA;WIFI_MAINTENANCE,LORA,Send,Delivered,None,8,No,None,Yes,Yes,2,1,6.7,REGULAR|NORMAL|normal_lora_with_wifi_maintenance|LORA;WIFI_MAINTENANCE|LORA|Send|Delivered|None|No|None|Yes,Scheduled WiFi maintenance is due; it runs only when energy is OK and WiFi is available.
75,S6,"Extreme soil event, LOW energy, LoRa-only emergency",4,7,Extreme_Dry,LOW,0.42000000000000004,No,Yes,NA,Yes,NA,21,96,EXTREME_DRY,CRITICAL,low_energy_critical_lora_only,LORA,DTN,Store,Stored,Enqueue,22,No,None,No,No,1,1,4.2,EXTREME_DRY|CRITICAL|low_energy_critical_lora_only|LORA|DTN|Store|Stored|Enqueue|No|None|No,LOW energy critical event allows only a minimal LoRa attempt; WiFi/BLE escalation is intentionally blocked.
76,S9,"High DTN backlog, OK energy, ANSA-Lite recovery",10,44,Normal,OK,0.735,Yes,Yes,Yes,No,NA,39,64,REGULAR,NORMAL,normal_lora_plus_ansa_flush,LORA;FLUSH_WIFI,LORA,Send,Delivered,Dequeue,36,Yes,WIFI,No,No,2,1,5.2,REGULAR|NORMAL|normal_lora_plus_ansa_flush|LORA;FLUSH_WIFI|LORA|Send|Delivered|Dequeue|Yes|WIFI|No,"Backlog exceeds threshold and energy is OK, so ANSA-Lite flush recovery is allowed after current packet handling."
77,S3,Rainfall/noncritical wet soil with weak LoRa,6,73,Wet,OK,0.21,No,No,NA,No,NA,8,64,REGULAR,NORMAL,fuzzy_store_wet_weak_lora,NONE,DTN,Store,Stored,Enqueue,9,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_wet_weak_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Wet but non-extreme soil remains normal traffic; fuzzy STORE avoids unnecessary LoRa attempts.
78,S8,"CRITICAL battery, store-only protection",2,39,Normal,CRITICAL,0.89,NA,No,NA,No,NA,21,64,BATTERY_CRITICAL,CRITICAL,battery_critical_store_only,NONE,DTN,Store,Stored,Enqueue,22,No,None,No,No,0,1,1.5,BATTERY_CRITICAL|CRITICAL|battery_critical_store_only|NONE|DTN|Store|Stored|Enqueue|No|None|No,CRITICAL battery disables normal radio transmission; zero TX attempts expected.
79,S9,"High DTN backlog, OK energy, ANSA-Lite recovery",5,44,Normal,OK,0.76,Yes,Yes,NA,No,NA,34,64,REGULAR,NORMAL,normal_lora_plus_ansa_flush,LORA;FLUSH_LORA,LORA,Send,Delivered,Dequeue,31,Yes,LORA,No,No,2,1,5.2,REGULAR|NORMAL|normal_lora_plus_ansa_flush|LORA;FLUSH_LORA|LORA|Send|Delivered|Dequeue|Yes|LORA|No,"Backlog exceeds threshold and energy is OK, so ANSA-Lite flush recovery is allowed after current packet handling."
80,S8,"CRITICAL battery, store-only protection",8,41,Normal,CRITICAL,0.8300000000000001,NA,No,NA,No,NA,27,64,BATTERY_CRITICAL,CRITICAL,battery_critical_store_only,NONE,DTN,Store,Stored,Enqueue,28,No,None,No,No,0,1,1.5,BATTERY_CRITICAL|CRITICAL|battery_critical_store_only|NONE|DTN|Store|Stored|Enqueue|No|None|No,CRITICAL battery disables normal radio transmission; zero TX attempts expected.
81,S7,"LOW battery, noncritical soil, warning-store policy",5,43,Normal,LOW,0.76,NA,No,NA,No,NA,19,64,LOW_BATTERY,WARNING,warning_store_policy,NONE,DTN,Store,Stored,Enqueue,20,No,None,No,No,0,1,1.5,LOW_BATTERY|WARNING|warning_store_policy|NONE|DTN|Store|Stored|Enqueue|No|None|No,LOW battery bypasses fuzzy path; current packet is stored and high-cost interfaces are avoided.
82,S3,Rainfall/noncritical wet soil with weak LoRa,10,76,Wet,OK,0.16,No,No,NA,No,NA,12,64,REGULAR,NORMAL,fuzzy_store_wet_weak_lora,NONE,DTN,Store,Stored,Enqueue,13,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_wet_weak_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Wet but non-extreme soil remains normal traffic; fuzzy STORE avoids unnecessary LoRa attempts.
83,S3,Rainfall/noncritical wet soil with weak LoRa,8,71,Wet,OK,0.23,No,No,NA,No,NA,10,64,REGULAR,NORMAL,fuzzy_store_wet_weak_lora,NONE,DTN,Store,Stored,Enqueue,11,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_wet_weak_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Wet but non-extreme soil remains normal traffic; fuzzy STORE avoids unnecessary LoRa attempts.
84,S9,"High DTN backlog, OK energy, ANSA-Lite recovery",9,43,Normal,OK,0.74,Yes,Yes,NA,No,NA,38,64,REGULAR,NORMAL,normal_lora_plus_ansa_flush,LORA;FLUSH_LORA,LORA,Send,Delivered,Dequeue,35,Yes,LORA,No,No,2,1,5.2,REGULAR|NORMAL|normal_lora_plus_ansa_flush|LORA;FLUSH_LORA|LORA|Send|Delivered|Dequeue|Yes|LORA|No,"Backlog exceeds threshold and energy is OK, so ANSA-Lite flush recovery is allowed after current packet handling."
85,S10,Scheduled WiFi maintenance gating,8,40,Normal,OK,0.865,Yes,Yes,Yes,No,NA,9,64,REGULAR,NORMAL,normal_lora_with_wifi_maintenance,LORA;WIFI_MAINTENANCE,LORA,Send,Delivered,None,9,No,None,Yes,Yes,2,1,6.7,REGULAR|NORMAL|normal_lora_with_wifi_maintenance|LORA;WIFI_MAINTENANCE|LORA|Send|Delivered|None|No|None|Yes,Scheduled WiFi maintenance is due; it runs only when energy is OK and WiFi is available.
86,S1,"Normal soil, OK energy, reliable LoRa",5,42,Normal,OK,0.97,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,fuzzy_lora_tx,LORA,LORA,Send,Delivered,None,0,No,None,No,No,1,1,3.7,REGULAR|NORMAL|fuzzy_lora_tx|LORA|LORA|Send|Delivered|None|No|None|No,Normal fuzzy path selects LoRa because soil and recent LoRa reliability are favourable.
87,S6,"Extreme soil event, LOW energy, LoRa-only emergency",5,94,Extreme_Wet,LOW,0.41000000000000003,No,Yes,NA,Yes,NA,22,96,EXTREME_WET,CRITICAL,low_energy_critical_lora_only,LORA,DTN,Store,Stored,Enqueue,23,No,None,No,No,1,1,4.2,EXTREME_WET|CRITICAL|low_energy_critical_lora_only|LORA|DTN|Store|Stored|Enqueue|No|None|No,LOW energy critical event allows only a minimal LoRa attempt; WiFi/BLE escalation is intentionally blocked.
88,S8,"CRITICAL battery, store-only protection",6,39,Normal,CRITICAL,0.85,NA,No,NA,No,NA,25,64,BATTERY_CRITICAL,CRITICAL,battery_critical_store_only,NONE,DTN,Store,Stored,Enqueue,26,No,None,No,No,0,1,1.5,BATTERY_CRITICAL|CRITICAL|battery_critical_store_only|NONE|DTN|Store|Stored|Enqueue|No|None|No,CRITICAL battery disables normal radio transmission; zero TX attempts expected.
89,S2,"Normal soil, OK energy, poor LoRa history",2,39,Normal,OK,0.28,No,No,NA,No,NA,1,64,REGULAR,NORMAL,fuzzy_store_poor_lora,NONE,DTN,Store,Stored,Enqueue,2,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_poor_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Fuzzy path uses soil moisture and LoRa success ratio only; poor LoRa history causes direct DTN store.
90,S7,"LOW battery, noncritical soil, warning-store policy",10,43,Normal,LOW,0.7100000000000001,NA,No,NA,No,NA,24,64,LOW_BATTERY,WARNING,warning_store_policy,NONE,DTN,Store,Stored,Enqueue,25,No,None,No,No,0,1,1.5,LOW_BATTERY|WARNING|warning_store_policy|NONE|DTN|Store|Stored|Enqueue|No|None|No,LOW battery bypasses fuzzy path; current packet is stored and high-cost interfaces are avoided.
91,S9,"High DTN backlog, OK energy, ANSA-Lite recovery",7,41,Normal,OK,0.75,Yes,Yes,Yes,No,NA,36,64,REGULAR,NORMAL,normal_lora_plus_ansa_flush,LORA;FLUSH_WIFI,LORA,Send,Delivered,Dequeue,33,Yes,WIFI,No,No,2,1,5.2,REGULAR|NORMAL|normal_lora_plus_ansa_flush|LORA;FLUSH_WIFI|LORA|Send|Delivered|Dequeue|Yes|WIFI|No,"Backlog exceeds threshold and energy is OK, so ANSA-Lite flush recovery is allowed after current packet handling."
92,S2,"Normal soil, OK energy, poor LoRa history",4,35,Normal,OK,0.25,No,No,NA,No,NA,3,64,REGULAR,NORMAL,fuzzy_store_poor_lora,NONE,DTN,Store,Stored,Enqueue,4,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_poor_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Fuzzy path uses soil moisture and LoRa success ratio only; poor LoRa history causes direct DTN store.
93,S2,"Normal soil, OK energy, poor LoRa history",8,42,Normal,OK,0.34,No,No,NA,No,NA,7,64,REGULAR,NORMAL,fuzzy_store_poor_lora,NONE,DTN,Store,Stored,Enqueue,8,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_poor_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Fuzzy path uses soil moisture and LoRa success ratio only; poor LoRa history causes direct DTN store.
94,S3,Rainfall/noncritical wet soil with weak LoRa,9,79,Wet,OK,0.17,No,No,NA,No,NA,11,64,REGULAR,NORMAL,fuzzy_store_wet_weak_lora,NONE,DTN,Store,Stored,Enqueue,12,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_wet_weak_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Wet but non-extreme soil remains normal traffic; fuzzy STORE avoids unnecessary LoRa attempts.
95,S4,"Extreme dry, OK energy, deterministic cascade",2,9,Extreme_Dry,OK,0.39,No,Yes,Yes,No,NA,11,128,EXTREME_DRY,CRITICAL,critical_environmental_full_cascade,LORA-WIFI,WIFI,Send,Delivered,None,11,No,None,No,No,2,1,6.4,EXTREME_DRY|CRITICAL|critical_environmental_full_cascade|LORA-WIFI|WIFI|Send|Delivered|None|No|None|No,OK-energy critical environmental event uses deterministic LoRa to WiFi to Bluetooth reliable cascade before DTN.
96,S4,"Extreme dry, OK energy, deterministic cascade",6,10,Extreme_Dry,OK,0.35000000000000003,Yes,No,NA,No,NA,15,128,EXTREME_DRY,CRITICAL,critical_environmental_full_cascade,LORA,LORA,Send,Delivered,None,15,No,None,No,No,1,1,3.7,EXTREME_DRY|CRITICAL|critical_environmental_full_cascade|LORA|LORA|Send|Delivered|None|No|None|No,OK-energy critical environmental event uses deterministic LoRa to WiFi to Bluetooth reliable cascade before DTN.
97,S10,Scheduled WiFi maintenance gating,5,37,Normal,OK,0.88,Yes,Yes,Yes,No,NA,9,64,REGULAR,NORMAL,normal_lora_with_wifi_maintenance,LORA;WIFI_MAINTENANCE,LORA,Send,Delivered,None,9,No,None,Yes,Yes,2,1,6.7,REGULAR|NORMAL|normal_lora_with_wifi_maintenance|LORA;WIFI_MAINTENANCE|LORA|Send|Delivered|None|No|None|Yes,Scheduled WiFi maintenance is due; it runs only when energy is OK and WiFi is available.
98,S1,"Normal soil, OK energy, reliable LoRa",4,40,Normal,OK,0.93,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,fuzzy_lora_tx,LORA,LORA,Send,Delivered,None,0,No,None,No,No,1,1,3.7,REGULAR|NORMAL|fuzzy_lora_tx|LORA|LORA|Send|Delivered|None|No|None|No,Normal fuzzy path selects LoRa because soil and recent LoRa reliability are favourable.
99,S2,"Normal soil, OK energy, poor LoRa history",5,43,Normal,OK,0.31,No,No,NA,No,NA,4,64,REGULAR,NORMAL,fuzzy_store_poor_lora,NONE,DTN,Store,Stored,Enqueue,5,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_poor_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Fuzzy path uses soil moisture and LoRa success ratio only; poor LoRa history causes direct DTN store.
100,S9,"High DTN backlog, OK energy, ANSA-Lite recovery",2,41,Normal,OK,0.775,Yes,Yes,Yes,No,NA,31,64,REGULAR,NORMAL,normal_lora_plus_ansa_flush,LORA;FLUSH_WIFI,LORA,Send,Delivered,Dequeue,28,Yes,WIFI,No,No,2,1,5.2,REGULAR|NORMAL|normal_lora_plus_ansa_flush|LORA;FLUSH_WIFI|LORA|Send|Delivered|Dequeue|Yes|WIFI|No,"Backlog exceeds threshold and energy is OK, so ANSA-Lite flush recovery is allowed after current packet handling."
